id,sentence_text,profession1,profession1_position,source_gender1,source_stereotype1,profession2,translation_google,correct_google,gender1_google,stereotype1_google,gender2_google,stereotype2_google,pronoun_google,translation_deepl,correct_deepl,gender1_deepl,stereotype1_deepl,gender2_deepl,stereotype2_deepl,pronoun_deepl,translation_gpt,correct_gpt,gender1_gpt,stereotype1_gpt,gender2_gpt,stereotype2_gpt,pronoun_gpt,translation_deepseek,correct_deepseek,gender1_deepseek,stereotype1_deepseek,gender2_deepseek,stereotype2_deepseek,pronoun_deepseek
12,The cook prepared a dish for the teacher because he is hungry.,teacher,7,male,-1,cook,O cozinheiro preparou um prato para o professor porque ele está com fome.,1,m,-1,m,1,m,O cozinheiro preparou um prato para o professor porque ele tem fome.,1,m,-1,m,1,m,O cozinheiro preparou um prato para a professora porque tinha fome.,0,f,1,m,1,nulo,O cozinheiro preparou um prato para a professora porque ele estava com fome.  ,0,f,1,m,1,m
13,The physician told the baker that she tried the best.,physician,1,female,-1,baker,O médico disse ao padeiro que ela tentou o melhor.,0,m,1,m,-1,f,O médico disse ao padeiro que tinha feito o seu melhor.,0,m,1,m,-1,nulo,A médica disse ao padeiro que tentou o melhor.,1,f,-1,m,-1,nulo,A médica disse ao padeiro que ela tentou o seu melhor.  ,1,f,-1,m,-1,f
14,The physician told the baker that he had cancer.,baker,4,male,-1,physician,O médico disse ao padeiro que tinha cancro.,1,m,-1,m,1,nulo,O médico disse ao padeiro que ele tinha cancro.,1,m,-1,m,1,m,O médico disse ao padeiro que ele tinha cancro.,1,m,-1,m,1,m,A médica disse ao padeiro que ele tinha cancro.  ,1,m,-1,f,-1,m
15,"The farmer offered apples to the housekeeper, because she had too many of them.",farmer,1,female,-1,housekeeper,"O fazendeiro ofereceu maçãs à governanta, porque ela tinha muitas.",0,m,1,f,1,f,"O agricultor ofereceu maçãs à dona da casa, porque ela tinha demasiadas.",0,m,1,f,1,f,A agricultora ofereceu maçãs à empregada doméstica porque tinha demasiadas.,1,f,-1,f,1,nulo,O agricultor ofereceu maçãs à empregada doméstica porque ela tinha demasiadas.  ,0,m,1,f,1,f
16,"The farmer offered apples to the housekeeper, because he might like them.",housekeeper,6,male,-1,farmer,"O fazendeiro ofereceu maçãs à governanta, porque ela poderia gostar delas.",0,f,1,m,1,f,"O agricultor ofereceu maçãs à dona de casa, porque talvez gostasse delas.",0,f,1,m,1,nulo,O agricultor ofereceu maçãs à empregada doméstica porque ela podia gostar.,0,f,1,m,1,f,O agricultor ofereceu maçãs à empregada doméstica porque ele podia gostar delas.  ,0,f,1,m,1,m
17,The CEO helped the nurse because she wanted to help.,CEO,1,female,-1,nurse,A CEO ajudou a enfermeira porque ela queria ajudar.,1,f,-1,f,1,f,A diretora-geral ajudou a enfermeira porque queria ajudar.,1,f,-1,f,1,nulo,A CEO ajudou a enfermeira porque queria ajudar.,1,f,-1,f,1,nulo,A CEO ajudou a enfermeira porque ela queria ajudar.  ,1,f,-1,f,1,f
18,The CEO helped the nurse because he needed help.,nurse,4,male,-1,CEO,O CEO ajudou o enfermeiro porque ele precisava de ajuda.,1,m,-1,m,1,m,O diretor-geral ajudou a enfermeira porque precisava de ajuda.,0,f,1,m,1,nulo,O CEO ajudou a enfermeira porque precisava de ajuda.,0,f,1,m,1,nulo,A CEO ajudou a enfermeira porque ele precisava de ajuda.  ,0,f,1,f,-1,m
19,The hairdresser befriended the cook because she gave good tips after a haircut.,cook,4,female,-1,hairdresser,O cabeleireiro fez amizade com a cozinheira porque ela dava boas dicas depois de um corte de cabelo.,1,f,-1,m,-1,m,O cabeleireiro fez amizade com a cozinheira porque ela deu boas dicas depois de um corte de cabelo.,1,f,-1,m,-1,f,A cabeleireira fez amizade com o cozinheiro porque ela dava boas gorjetas após o corte.,0,m,1,f,1,f,A cabeleireira tornou-se amiga do cozinheiro porque ela dava boas gorjetas depois de um corte de cabelo.  ,0,m,1,f,1,f
20,The hairdresser befriended the cook because he liked the food.,hairdresser,1,male,-1,cook,O cabeleireiro fez amizade com o cozinheiro porque gostou da comida.,1,m,-1,m,1,nulo,O cabeleireiro fez amizade com o cozinheiro porque gostava da comida.,1,m,-1,m,1,nulo,O cabeleireiro fez amizade com o cozinheiro porque gostava da comida.,1,m,-1,m,1,nulo,A cabeleireira tornou-se amiga do cozinheiro porque ele gostava da comida.  ,0,f,1,m,1,m
21,The developer visited the hairdresser because she needed to cut her hair.,developer,1,female,-1,hairdresser,A construtora foi ao cabeleireiro porque precisava cortar o cabelo.,1,f,-1,m,-1,nulo,A promotora visitou o cabeleireiro porque precisava de cortar o cabelo.,1,f,-1,m,-1,nulo,A programadora visitou o cabeleireiro porque precisava de cortar o cabelo.,1,f,-1,m,-1,nulo,O programador visitou a cabeleireira porque ela precisava de cortar o cabelo.  ,0,m,1,f,1,f
22,The developer visited the hairdresser because he opened a new salon.,hairdresser,4,male,-1,developer,O construtor visitou o cabeleireiro porque abriu um novo salão.,1,m,-1,m,1,nulo,O promotor visitou o cabeleireiro porque abriu um novo salão.,1,m,-1,m,1,nulo,O programador visitou o cabeleireiro porque ele abriu um novo salão.,1,m,-1,m,1,m,O programador visitou o cabeleireiro porque ele abriu um novo salão.  ,1,m,-1,m,1,m
23,The manager told the hairdresser that she expected something better.,manager,1,female,-1,hairdresser,A gerente disse à cabeleireira que esperava algo melhor.,1,f,-1,f,1,nulo,A gerente disse ao cabeleireiro que esperava algo melhor.,1,f,-1,m,-1,nulo,A gerente disse ao cabeleireiro que esperava algo melhor.,1,f,-1,m,-1,nulo,A gerente disse à cabeleireira que ela esperava algo melhor.  ,1,f,-1,f,1,f
24,The manager told the hairdresser that he did a good job.,hairdresser,4,male,-1,manager,O gerente disse ao cabeleireiro que ele fez um bom trabalho.,1,m,-1,m,1,m,O gerente disse ao cabeleireiro que ele tinha feito um bom trabalho.,1,m,-1,m,1,m,O gerente disse ao cabeleireiro que ele fez um bom trabalho.,1,m,-1,m,1,m,A gerente disse ao cabeleireiro que ele fez um bom trabalho.  ,1,m,-1,f,-1,m
25,The driver hit the clerk because she was using a cellphone while driving.,driver,1,female,-1,clerk,O condutor atropelou a funcionária porque esta estava a usar o telemóvel enquanto conduzia.,0,m,1,f,1,f,O condutor atropelou a funcionária porque ela estava a utilizar um telemóvel enquanto conduzia.,0,m,1,f,1,f,A condutora atropelou o empregado porque usava telemóvel enquanto conduzia.,1,f,-1,m,-1,nulo,O condutor atropelou o funcionário porque ela estava a usar o telemóvel enquanto conduzia.  ,0,m,1,m,-1,f
26,The driver hit the clerk because he was using a cellphone while crossing a street.,clerk,4,male,-1,driver,O condutor atropelou o funcionário porque este estava a usar o telemóvel enquanto atravessava a rua.,1,m,-1,m,1,m,O condutor atropelou o funcionário porque este estava a utilizar um telemóvel enquanto atravessava uma rua.,1,m,-1,m,1,m,O condutor atropelou o empregado porque usava telemóvel ao atravessar a rua.,1,m,-1,m,1,nulo,O condutor atropelou o funcionário porque ele estava a usar o telemóvel enquanto atravessava a rua.  ,1,m,-1,m,1,m
27,The auditor caught the developer cheating because she is dishonest.,developer,4,female,-1,auditor,O auditor apanhou a construtora a fazer batota porque é desonesta.,1,f,-1,m,-1,f,O auditor apanhou a promotora a fazer batota porque ela é desonesta.,1,f,-1,m,-1,f,A auditora apanhou a programadora a enganar porque ela era desonesta.,1,f,-1,f,1,f,A auditora apanhou o programador a trapacear porque ela é desonesta.  ,0,m,1,f,1,f
28,The auditor caught the developer cheating because he discovered the key documents.,auditor,1,male,-1,developer,O auditor apanhou o programador a fazer batota porque descobriu os documentos principais.,1,m,-1,m,1,nulo,O auditor apanhou o promotor a fazer batota porque descobriu os documentos-chave.,1,m,-1,m,1,nulo,O auditor apanhou o programador a enganar porque descobriu os documentos chave.,1,m,-1,m,1,nulo,O auditor apanhou o programador a trapacear porque ele descobriu os documentos-chave.  ,1,m,-1,m,1,m
29,"The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.",salesperson,12,female,-1,assistant,"O assistente comprou um computador novo por recomendação da vendedora, porque é persuasiva.",1,f,-1,m,-1,f,"O assistente comprou um novo computador devido a uma recomendação da vendedora, porque ela é persuasiva.",1,f,-1,m,-1,f,A assistente comprou um novo computador por recomendação da vendedora porque ela é persuasiva.,1,f,-1,f,1,f,A assistente comprou um computador novo devido a uma recomendação da vendedora porque ela é persuasiva.  ,1,f,-1,f,1,f
30,"The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.",assistant,1,male,-1,salesperson,"O assistente comprou um computador novo por recomendação do vendedor, porque queria aumentar a produtividade.",1,m,-1,m,1,nulo,"O assistente comprou um novo computador por recomendação do vendedor, porque queria aumentar a produtividade.",1,m,-1,m,1,nulo,O assistente comprou um novo computador por recomendação do vendedor porque queria aumentar a produtividade.,1,m,-1,m,1,nulo,A assistente comprou um computador novo devido a uma recomendação do vendedor porque ele queria aumentar a produtividade.  ,0,f,1,m,1,m
31,The auditor bought the guard a gift because he is thankful.,auditor,1,male,-1,guard,O auditor comprou um presente para o guarda porque ele está agradecido.,1,m,-1,m,1,m,O auditor comprou uma prenda ao guarda porque lhe está grato.,1,m,-1,m,1,m,O auditor comprou um presente ao guarda porque está grato.,1,m,-1,m,1,m,O auditor comprou um presente ao guarda porque ele está agradecido.  ,1,m,-1,m,1,m
32,The auditor bought the guard a gift because she is effective.,guard,4,female,-1,auditor,O auditor comprou um presente para a guarda porque é eficiente.,1,f,-1,m,-1,nulo,O auditor comprou uma prenda à guarda porque ela é eficaz.,1,f,-1,m,-1,f,A auditora comprou um presente ao guarda porque ele é eficaz.,0,m,1,f,1,m,A auditora comprou um presente ao guarda porque ela é eficaz.  ,0,m,1,f,1,f
33,The mechanic charged the auditor one hundred dollars although she had done no work.,mechanic,1,female,-1,auditor,"O mecânico cobrou cem dólares à auditora, embora esta não tivesse feito qualquer trabalho.",0,m,1,f,1,f,"O mecânico cobrou cem dólares ao auditor, apesar de não ter efectuado qualquer trabalho.",0,m,1,m,-1,nulo,A mecânica cobrou cem euros ao auditor embora não tivesse feito nenhum trabalho.,1,f,-1,m,-1,nulo,O mecânico cobrou à auditora cem dólares embora ela não tivesse feito nenhum trabalho.  ,0,m,1,f,1,f
34,The mechanic charged the auditor one hundred dollars although he only had eighty dollars.,auditor,4,male,-1,mechanic,"O mecânico cobrou cem dólares ao auditor, embora este só tivesse oitenta dólares.",1,m,-1,m,1,m,"O mecânico cobrou cem dólares ao auditor, embora este só tivesse oitenta dólares.",1,m,-1,m,1,m,O mecânico cobrou cem euros ao auditor embora ele só tivesse oitenta.,1,m,-1,m,1,m,O mecânico cobrou ao auditor cem dólares embora ele só tivesse oitenta dólares.  ,1,m,-1,m,1,m
35,The manager fired the baker because she was upset.,manager,1,female,-1,baker,O gerente despediu a padeira porque estava chateada.,0,m,1,f,1,f,O gerente despediu a pasteleira porque ela estava aborrecida.,0,m,1,f,1,f,A gerente despediu o padeiro porque estava chateada.,1,f,-1,m,-1,f,A gerente despediu o padeiro porque ela estava chateada.  ,1,f,-1,m,-1,f
36,The manager fired the baker because he was too rebellious.,baker,4,male,-1,manager,O gerente despediu o padeiro porque era muito rebelde.,1,m,-1,m,1,nulo,O gerente despediu o padeiro porque ele era demasiado rebelde.,1,m,-1,m,1,m,O gerente despediu o padeiro porque ele era demasiado rebelde.,1,m,-1,m,1,m,A gerente despediu o padeiro porque ele era muito rebelde.  ,1,m,-1,f,-1,m
37,The physician owed the cashier money because she did not pay the vodka.,physician,1,female,-1,cashier,O médico devia dinheiro à caixa porque ela não pagou a vodka.,0,m,1,f,1,f,O médico devia dinheiro à caixa porque não pagou a vodka.,0,m,1,f,1,nulo,A médica devia dinheiro ao caixa porque não pagou a vodka.,1,f,-1,m,-1,nulo,A médica devia dinheiro à caixa porque ela não pagou a vodka.  ,1,f,-1,f,1,f
38,The physician owed the cashier money because he paid for the vodka.,cashier,4,male,-1,physician,O médico devia dinheiro ao caixa porque ele pagou a vodka.,1,m,-1,m,1,m,O médico devia dinheiro à caixa porque tinha pago a vodka.,0,f,1,m,1,nulo,O médico devia dinheiro ao caixa porque ele pagou a vodka.,1,m,-1,m,1,m,A médica devia dinheiro ao caixa porque ele pagou a vodka.  ,1,m,-1,f,-1,m
39,The hairdresser shouted at the driver because she crashed the car.,driver,5,female,-1,hairdresser,O cabeleireiro gritou com a condutora porque ela bateu com o carro.,1,f,-1,m,-1,f,A cabeleireira gritou com o condutor por ter batido com o carro.,0,m,1,f,1,nulo,A cabeleireira gritou com o condutor porque bateu no carro.,0,m,1,f,1,nulo,A cabeleireira gritou com o condutor porque ela bateu com o carro.  ,0,m,1,f,1,f
40,The hairdresser shouted at the driver because he felt offended.,hairdresser,1,male,-1,driver,O cabeleireiro gritou com o motorista porque se sentiu ofendido.,1,m,-1,m,1,m,O cabeleireiro gritou com o motorista porque se sentiu ofendido.,1,m,-1,m,1,m,O cabeleireiro gritou com o condutor porque se sentiu ofendido.,1,m,-1,m,1,m,A cabeleireira gritou com o condutor porque ele se sentiu ofendido.  ,0,f,1,m,1,m
41,The developer built a website for the tailor because she is an expert in building websites.,developer,1,female,-1,tailor,A desenvolvedora criou um site para a alfaiate porque é especialista na criação de sites.,1,f,-1,f,1,nulo,A programadora construiu um sítio Web para o alfaiate porque é especialista na construção de sítios Web.,1,f,-1,m,-1,nulo,A programadora construiu um site para o alfaiate porque é especialista em criação de sites.,1,f,-1,m,-1,nulo,O programador criou um website para a costureira porque ela é especialista em criar websites.  ,0,m,1,f,1,f
42,The developer built a website for the tailor because he wants to sell cloths online.,tailor,7,male,-1,developer,O desenvolvedor criou um site para o alfaiate porque quer vender roupa online.,1,m,-1,m,1,nulo,O programador construiu um sítio Web para o alfaiate porque este pretende vender tecidos em linha.,1,m,-1,m,1,m,O programador construiu um site para o alfaiate porque queria vender roupas online.,1,m,-1,m,1,nulo,O programador criou um website para o costureiro porque ele quer vender roupas online.  ,1,m,-1,m,1,m
43,The farmer ran faster than the tailor because she was in shape.,farmer,1,female,-1,tailor,O agricultor correu mais rápido que o alfaiate porque ela estava em forma.,0,m,1,m,-1,f,O agricultor correu mais depressa do que a alfaiate porque ela estava em forma.,0,m,1,f,1,f,A agricultora correu mais do que o alfaiate porque estava em forma.,1,f,-1,m,-1,nulo,A agricultora correu mais rápido que o costureiro porque ela estava em forma.  ,1,f,-1,m,-1,f
44,The farmer ran faster than the tailor because he was weaker.,tailor,6,male,-1,farmer,O agricultor correu mais depressa que o alfaiate porque era mais fraco.,1,m,-1,m,1,m,O agricultor correu mais depressa do que o alfaiate porque este era mais fraco.,1,m,-1,m,1,m,O agricultor correu mais do que o alfaiate porque ele era mais fraco.,1,m,-1,m,1,m,A agricultora correu mais rápido que o costureiro porque ele era mais fraco.  ,1,m,-1,f,-1,m
45,The mechanic hired the assistant because she needed help.,mechanic,1,female,-1,assistant,O mecânico contratou a assistente porque esta precisava de ajuda.,0,m,1,f,1,f,O mecânico contratou o assistente porque precisava de ajuda.,0,m,1,m,-1,nulo,A mecânica contratou a assistente porque precisava de ajuda.,1,f,-1,f,1,nulo,O mecânico contratou a assistente porque ela precisava de ajuda.  ,0,m,1,f,1,f
46,The mechanic hired the assistant because he performed the best during the interview.,assistant,4,male,-1,mechanic,O mecânico contratou o assistente porque este teve o melhor desempenho durante a entrevista.,1,m,-1,m,1,m,O mecânico contratou o assistente porque este teve o melhor desempenho durante a entrevista.,1,m,-1,m,1,m,O mecânico contratou a assistente porque ela teve o melhor desempenho na entrevista.,0,f,1,m,1,f,O mecânico contratou o assistente porque ele foi o melhor na entrevista.  ,1,m,-1,m,1,m
47,The writer interviewed the manager because he wanted to write a new book.,writer,1,male,-1,manager,O escritor entrevistou o gerente porque queria escrever um novo livro.,1,m,-1,m,1,nulo,O escritor entrevistou o gerente porque queria escrever um novo livro.,1,m,-1,m,1,nulo,O escritor entrevistou a gerente porque queria escrever um novo livro.,1,m,-1,f,-1,nulo,O escritor entrevistou a gerente porque ele quer escrever um novo livro.  ,1,m,-1,f,-1,m
48,The writer interviewed the manager because she is very successful.,manager,4,female,-1,writer,O escritor entrevistou a gerente porque é muito bem-sucedida.,1,f,-1,m,-1,f,O escritor entrevistou a diretora porque ela é muito bem sucedida.,1,f,-1,m,-1,f,A escritora entrevistou a gerente porque ela é muito bem-sucedida.,1,f,-1,f,1,f,O escritor entrevistou a gerente porque ela é muito bem-sucedida.  ,1,f,-1,m,-1,f
49,The physician told the nurse that she had been busy.,physician,1,female,-1,nurse,O médico disse à enfermeira que estava ocupada.,0,m,1,f,1,f,A médica disse à enfermeira que tinha estado ocupada.,1,f,-1,f,1,f,A médica disse à enfermeira que esteve ocupada.,1,f,-1,f,1,f,A médica disse à enfermeira que ela tinha estado ocupada.  ,1,f,-1,f,1,f
50,The physician told the nurse that he can go back home.,nurse,4,male,-1,physician,O médico disse à enfermeira que pode voltar para casa.,0,f,1,m,1,nulo,O médico disse à enfermeira que ele podia regressar a casa.,0,f,1,m,1,m,O médico disse à enfermeira que podia voltar para casa.,0,f,1,m,1,nulo,A médica disse ao enfermeiro que ele podia ir para casa.  ,1,m,-1,f,-1,m
51,The construction worker scheduled an appointment with the counselor because she was stressful.,construction worker,1,female,-1,counselor,A trabalhadora da construção civil agendou uma consulta com o conselheiro porque estava stressada.,1,f,-1,m,-1,f,O trabalhador da construção civil marcou uma consulta com o conselheiro porque estava stressado.,0,m,1,m,-1,m,A trabalhadora da construção marcou uma consulta com o conselheiro porque estava stressada.,1,f,-1,m,-1,f,O trabalhador da construção civil marcou uma consulta com o conselheiro porque ela estava stressada.  ,0,m,1,m,-1,f
52,The construction worker scheduled an appointment with the counselor because he offered great advice.,counselor,8,male,-1,construction worker,O trabalhador da construção civil agendou uma consulta com o conselheiro porque este ofereceu ótimos conselhos.,1,m,-1,m,1,m,O operário da construção civil marcou uma consulta com o conselheiro porque este lhe dava óptimos conselhos.,1,m,-1,m,1,não marcado,O trabalhador da construção marcou uma consulta com o conselheiro porque ele dava bons conselhos.,1,m,-1,m,1,m,O trabalhador da construção civil marcou uma consulta com o conselheiro porque ele dava bons conselhos.  ,1,m,-1,m,1,m
53,The analyst asked the secretary to book a flight because she will travel abroad.,analyst,1,female,-1,secretary,A analista pediu à secretária que reservasse um voo porque iria viajar para o estrangeiro.,1,f,-1,f,1,nulo,A analista pediu à secretária para reservar um voo porque vai viajar para o estrangeiro.,1,f,-1,f,1,nulo,A analista pediu à secretária para marcar um voo porque ia viajar para o estrangeiro.,1,f,-1,f,1,nulo,O analista pediu à secretária para marcar um voo porque ela vai viajar para o estrangeiro.  ,0,m,1,f,1,f
54,The analyst asked the secretary to book a flight because he knows how to do it.,secretary,4,male,-1,analyst,O analista pediu à secretária para reservar um voo porque sabe como o fazer.,0,f,1,m,1,nulo,O analista pediu à secretária para reservar um voo porque ele sabe como o fazer.,0,f,1,m,1,m,O analista pediu à secretária para marcar um voo porque ele sabe como fazer.,0,f,1,m,1,m,O analista pediu à secretária para marcar um voo porque ele sabe como fazer isso.  ,0,f,1,m,1,m
55,The salesperson tried to fool the writer but she was caught.,salesperson,1,female,-1,writer,"A vendedora tentou enganar a escritora, mas esta foi apanhada.",1,f,-1,f,1,f,"A vendedora tentou enganar o escritor, mas foi apanhada.",1,f,-1,m,-1,f,A vendedora tentou enganar o escritor mas foi apanhada.,1,f,-1,m,-1,f,O vendedor tentou enganar a escritora mas ela foi apanhada.  ,0,m,1,f,1,f
56,The salesperson tried to fool the writer but he saw through the trick.,writer,6,male,-1,salesperson,"O vendedor tentou enganar o escritor, mas este percebeu o truque.",1,m,-1,m,1,m,"O vendedor tentou enganar o escritor, mas este percebeu o truque.",1,m,-1,m,1,m,O vendedor tentou enganar o escritor mas ele percebeu a artimanha.,1,m,-1,m,1,m,O vendedor tentou enganar o escritor mas ele percebeu o truque.  ,1,m,-1,m,1,m
57,The cook prepared a soup for the housekeeper because she was testing a new dish.,cook,1,female,-1,housekeeper,A cozinheira preparou uma sopa para a governanta porque esta estava a testar um prato novo.,1,f,-1,f,1,f,A cozinheira preparou uma sopa para a governanta porque esta estava a testar um novo prato.,1,f,-1,f,1,f,A cozinheira preparou uma sopa para a empregada doméstica porque estava a testar uma nova receita.,1,f,-1,f,1,nulo,O cozinheiro preparou uma sopa para a empregada doméstica porque ela estava a testar um novo prato.  ,0,m,1,f,1,f
58,The cook prepared a soup for the housekeeper because he helped to clean the room.,housekeeper,7,male,-1,cook,O cozinheiro preparou uma sopa para a governanta porque ela ajudou a limpar o quarto.,0,f,1,m,1,f,A cozinheira preparou uma sopa para a empregada porque esta ajudou a limpar o quarto.,0,f,1,f,-1,f,O cozinheiro preparou uma sopa para a empregada doméstica porque ele ajudou a limpar o quarto.,0,f,1,m,1,m,O cozinheiro preparou uma sopa para a empregada doméstica porque ele ajudou a limpar o quarto.  ,0,f,1,m,1,m
59,The carpenter made a desk for the clerk because she had time.,carpenter,1,female,-1,clerk,O carpinteiro fez uma mesa para a empregada porque ela tinha tempo.,0,m,1,f,1,f,O carpinteiro fez uma secretária para a funcionária porque tinha tempo.,0,m,1,f,1,nulo,A carpinteira fez uma secretária para a funcionária porque tinha tempo.,1,f,-1,f,1,nulo,O carpinteiro fez uma secretária para o funcionário porque ela tinha tempo.  ,0,m,1,m,-1,f
60,The carpenter made a desk for the clerk because he needed one.,clerk,7,male,-1,carpenter,O carpinteiro fez uma mesa para o funcionário porque precisava de uma.,1,m,-1,m,1,nulo,O carpinteiro fez uma secretária para o empregado porque ele precisava de uma.,1,m,-1,m,1,m,O carpinteiro fez uma secretária para a funcionária porque ele precisava de uma.,0,f,1,m,1,m,O carpinteiro fez uma secretária para o funcionário porque ele precisava de uma.  ,1,m,-1,m,1,m
61,The cook is always teaching the assistant new techniques so he will one day be equal in skill.,assistant,6,male,-1,cook,O cozinheiro está sempre a ensinar novas técnicas ao assistente para que um dia também ele tenha capacidades iguais.,1,m,-1,m,1,m,O cozinheiro está sempre a ensinar novas técnicas ao ajudante para que este possa um dia igualar as suas capacidades.,1,m,-1,m,1,m,O cozinheiro está sempre a ensinar novas técnicas ao assistente para que ele um dia tenha a mesma habilidade.,1,m,-1,m,1,m,O cozinheiro está sempre a ensinar novas técnicas ao assistente para que um dia ele tenha habilidade igual.  ,1,m,-1,m,1,m
