sentence_id,system,system_type,source_gender,gender_F,profession1_position,correct,gender1_translated,stereotype1,gender2_translated,stereotype2,pronoun_recoverable,pronoun_gender
13,DeepL,NMT,female,1,1,0,m,1,m,-1,0,unrecoverable
13,ChatGPT-4o,LLM,female,1,1,1,f,-1,m,-1,0,unrecoverable
13,DeepSeek-V3,LLM,female,1,1,1,f,-1,m,-1,1,f
14,Google,NMT,male,0,4,1,m,-1,m,1,0,unrecoverable
14,DeepL,NMT,male,0,4,1,m,-1,m,1,1,m
14,ChatGPT-4o,LLM,male,0,4,1,m,-1,m,1,1,m
14,DeepSeek-V3,LLM,male,0,4,1,m,-1,f,-1,1,m
15,Google,NMT,female,1,1,0,m,1,f,1,1,f
15,DeepL,NMT,female,1,1,0,m,1,f,1,1,f
15,ChatGPT-4o,LLM,female,1,1,1,f,-1,f,1,0,unrecoverable
15,DeepSeek-V3,LLM,female,1,1,0,m,1,f,1,1,f
16,Google,NMT,male,0,6,0,f,1,m,1,1,f
16,DeepL,NMT,male,0,6,0,f,1,m,1,0,unrecoverable
16,ChatGPT-4o,LLM,male,0,6,0,f,1,m,1,1,f
16,DeepSeek-V3,LLM,male,0,6,0,f,1,m,1,1,m
17,Google,NMT,female,1,1,1,f,-1,f,1,1,f
17,DeepL,NMT,female,1,1,1,f,-1,f,1,0,unrecoverable
17,ChatGPT-4o,LLM,female,1,1,1,f,-1,f,1,0,unrecoverable
17,DeepSeek-V3,LLM,female,1,1,1,f,-1,f,1,1,f
18,Google,NMT,male,0,4,1,m,-1,m,1,1,m
18,DeepL,NMT,male,0,4,0,f,1,m,1,0,unrecoverable
18,ChatGPT-4o,LLM,male,0,4,0,f,1,m,1,0,unrecoverable
18,DeepSeek-V3,LLM,male,0,4,0,f,1,f,-1,1,m
19,Google,NMT,female,1,4,1,f,-1,m,-1,1,m
19,DeepL,NMT,female,1,4,1,f,-1,m,-1,1,f
19,ChatGPT-4o,LLM,female,1,4,0,m,1,f,1,1,f
19,DeepSeek-V3,LLM,female,1,4,0,m,1,f,1,1,f
20,Google,NMT,male,0,1,1,m,-1,m,1,0,unrecoverable
20,DeepL,NMT,male,0,1,1,m,-1,m,1,0,unrecoverable
20,ChatGPT-4o,LLM,male,0,1,1,m,-1,m,1,0,unrecoverable
20,DeepSeek-V3,LLM,male,0,1,0,f,1,m,1,1,m
21,Google,NMT,female,1,1,1,f,-1,m,-1,0,unrecoverable
21,DeepL,NMT,female,1,1,1,f,-1,m,-1,0,unrecoverable
21,ChatGPT-4o,LLM,female,1,1,1,f,-1,m,-1,0,unrecoverable
21,DeepSeek-V3,LLM,female,1,1,0,m,1,f,1,1,f
22,Google,NMT,male,0,4,1,m,-1,m,1,0,unrecoverable
22,DeepL,NMT,male,0,4,1,m,-1,m,1,0,unrecoverable
22,ChatGPT-4o,LLM,male,0,4,1,m,-1,m,1,1,m
22,DeepSeek-V3,LLM,male,0,4,1,m,-1,m,1,1,m
23,Google,NMT,female,1,1,1,f,-1,f,1,0,unrecoverable
23,DeepL,NMT,female,1,1,1,f,-1,m,-1,0,unrecoverable
23,ChatGPT-4o,LLM,female,1,1,1,f,-1,m,-1,0,unrecoverable
23,DeepSeek-V3,LLM,female,1,1,1,f,-1,f,1,1,f
24,Google,NMT,male,0,4,1,m,-1,m,1,1,m
24,DeepL,NMT,male,0,4,1,m,-1,m,1,1,m
24,ChatGPT-4o,LLM,male,0,4,1,m,-1,m,1,1,m
24,DeepSeek-V3,LLM,male,0,4,1,m,-1,f,-1,1,m
25,Google,NMT,female,1,1,0,m,1,f,1,1,f
25,DeepL,NMT,female,1,1,0,m,1,f,1,1,f
25,ChatGPT-4o,LLM,female,1,1,1,f,-1,m,-1,0,unrecoverable
25,DeepSeek-V3,LLM,female,1,1,0,m,1,m,-1,1,f
26,Google,NMT,male,0,4,1,m,-1,m,1,1,m
26,DeepL,NMT,male,0,4,1,m,-1,m,1,1,m
26,ChatGPT-4o,LLM,male,0,4,1,m,-1,m,1,0,unrecoverable
26,DeepSeek-V3,LLM,male,0,4,1,m,-1,m,1,1,m
27,Google,NMT,female,1,4,1,f,-1,m,-1,1,f
27,DeepL,NMT,female,1,4,1,f,-1,m,-1,1,f
27,ChatGPT-4o,LLM,female,1,4,1,f,-1,f,1,1,f
27,DeepSeek-V3,LLM,female,1,4,0,m,1,f,1,1,f
28,Google,NMT,male,0,1,1,m,-1,m,1,0,unrecoverable
28,DeepL,NMT,male,0,1,1,m,-1,m,1,0,unrecoverable
28,ChatGPT-4o,LLM,male,0,1,1,m,-1,m,1,0,unrecoverable
28,DeepSeek-V3,LLM,male,0,1,1,m,-1,m,1,1,m
29,Google,NMT,female,1,12,1,f,-1,m,-1,1,f
29,DeepL,NMT,female,1,12,1,f,-1,m,-1,1,f
29,ChatGPT-4o,LLM,female,1,12,1,f,-1,f,1,1,f
29,DeepSeek-V3,LLM,female,1,12,1,f,-1,f,1,1,f
30,Google,NMT,male,0,1,1,m,-1,m,1,0,unrecoverable
30,DeepL,NMT,male,0,1,1,m,-1,m,1,0,unrecoverable
30,ChatGPT-4o,LLM,male,0,1,1,m,-1,m,1,0,unrecoverable
30,DeepSeek-V3,LLM,male,0,1,0,f,1,m,1,1,m
31,Google,NMT,male,0,1,1,m,-1,m,1,1,m
31,DeepL,NMT,male,0,1,1,m,-1,m,1,1,m
31,ChatGPT-4o,LLM,male,0,1,1,m,-1,m,1,1,m
31,DeepSeek-V3,LLM,male,0,1,1,m,-1,m,1,1,m
32,Google,NMT,female,1,4,1,f,-1,m,-1,0,unrecoverable
32,DeepL,NMT,female,1,4,1,f,-1,m,-1,1,f
32,ChatGPT-4o,LLM,female,1,4,0,m,1,f,1,1,m
32,DeepSeek-V3,LLM,female,1,4,0,m,1,f,1,1,f
33,Google,NMT,female,1,1,0,m,1,f,1,1,f
33,DeepL,NMT,female,1,1,0,m,1,m,-1,0,unrecoverable
33,ChatGPT-4o,LLM,female,1,1,1,f,-1,m,-1,0,unrecoverable
33,DeepSeek-V3,LLM,female,1,1,0,m,1,f,1,1,f
34,Google,NMT,male,0,4,1,m,-1,m,1,1,m
34,DeepL,NMT,male,0,4,1,m,-1,m,1,1,m
34,ChatGPT-4o,LLM,male,0,4,1,m,-1,m,1,1,m
34,DeepSeek-V3,LLM,male,0,4,1,m,-1,m,1,1,m
35,Google,NMT,female,1,1,0,m,1,f,1,1,f
35,DeepL,NMT,female,1,1,0,m,1,f,1,1,f
35,ChatGPT-4o,LLM,female,1,1,1,f,-1,m,-1,1,f
35,DeepSeek-V3,LLM,female,1,1,1,f,-1,m,-1,1,f
36,Google,NMT,male,0,4,1,m,-1,m,1,0,unrecoverable
36,DeepL,NMT,male,0,4,1,m,-1,m,1,1,m
36,ChatGPT-4o,LLM,male,0,4,1,m,-1,m,1,1,m
36,DeepSeek-V3,LLM,male,0,4,1,m,-1,f,-1,1,m
37,Google,NMT,female,1,1,0,m,1,f,1,1,f
37,DeepL,NMT,female,1,1,0,m,1,f,1,0,unrecoverable
37,ChatGPT-4o,LLM,female,1,1,1,f,-1,m,-1,0,unrecoverable
37,DeepSeek-V3,LLM,female,1,1,1,f,-1,f,1,1,f
38,Google,NMT,male,0,4,1,m,-1,m,1,1,m
38,DeepL,NMT,male,0,4,0,f,1,m,1,0,unrecoverable
38,ChatGPT-4o,LLM,male,0,4,1,m,-1,m,1,1,m
38,DeepSeek-V3,LLM,male,0,4,1,m,-1,f,-1,1,m
39,Google,NMT,female,1,5,1,f,-1,m,-1,1,f
39,DeepL,NMT,female,1,5,0,m,1,f,1,0,unrecoverable
39,ChatGPT-4o,LLM,female,1,5,0,m,1,f,1,0,unrecoverable
39,DeepSeek-V3,LLM,female,1,5,0,m,1,f,1,1,f
40,Google,NMT,male,0,1,1,m,-1,m,1,1,m
40,DeepL,NMT,male,0,1,1,m,-1,m,1,1,m
40,ChatGPT-4o,LLM,male,0,1,1,m,-1,m,1,1,m
40,DeepSeek-V3,LLM,male,0,1,0,f,1,m,1,1,m
41,Google,NMT,female,1,1,1,f,-1,f,1,0,unrecoverable
41,DeepL,NMT,female,1,1,1,f,-1,m,-1,0,unrecoverable
41,ChatGPT-4o,LLM,female,1,1,1,f,-1,m,-1,0,unrecoverable
41,DeepSeek-V3,LLM,female,1,1,0,m,1,f,1,1,f
42,Google,NMT,male,0,7,1,m,-1,m,1,0,unrecoverable
42,DeepL,NMT,male,0,7,1,m,-1,m,1,1,m
42,ChatGPT-4o,LLM,male,0,7,1,m,-1,m,1,0,unrecoverable
42,DeepSeek-V3,LLM,male,0,7,1,m,-1,m,1,1,m
43,Google,NMT,female,1,1,0,m,1,m,-1,1,f
43,DeepL,NMT,female,1,1,0,m,1,f,1,1,f
43,ChatGPT-4o,LLM,female,1,1,1,f,-1,m,-1,0,unrecoverable
43,DeepSeek-V3,LLM,female,1,1,1,f,-1,m,-1,1,f
44,Google,NMT,male,0,6,1,m,-1,m,1,1,m
44,DeepL,NMT,male,0,6,1,m,-1,m,1,1,m
44,ChatGPT-4o,LLM,male,0,6,1,m,-1,m,1,1,m
44,DeepSeek-V3,LLM,male,0,6,1,m,-1,f,-1,1,m
45,Google,NMT,female,1,1,0,m,1,f,1,1,f
45,DeepL,NMT,female,1,1,0,m,1,m,-1,0,unrecoverable
45,ChatGPT-4o,LLM,female,1,1,1,f,-1,f,1,0,unrecoverable
45,DeepSeek-V3,LLM,female,1,1,0,m,1,f,1,1,f
46,Google,NMT,male,0,4,1,m,-1,m,1,1,m
46,DeepL,NMT,male,0,4,1,m,-1,m,1,1,m
46,ChatGPT-4o,LLM,male,0,4,0,f,1,m,1,1,f
46,DeepSeek-V3,LLM,male,0,4,1,m,-1,m,1,1,m
47,Google,NMT,male,0,1,1,m,-1,m,1,0,unrecoverable
47,DeepL,NMT,male,0,1,1,m,-1,m,1,0,unrecoverable
47,ChatGPT-4o,LLM,male,0,1,1,m,-1,f,-1,0,unrecoverable
47,DeepSeek-V3,LLM,male,0,1,1,m,-1,f,-1,1,m
48,Google,NMT,female,1,4,1,f,-1,m,-1,1,f
48,DeepL,NMT,female,1,4,1,f,-1,m,-1,1,f
48,ChatGPT-4o,LLM,female,1,4,1,f,-1,f,1,1,f
48,DeepSeek-V3,LLM,female,1,4,1,f,-1,m,-1,1,f
49,Google,NMT,female,1,1,0,m,1,f,1,1,f
49,DeepL,NMT,female,1,1,1,f,-1,f,1,1,f
49,ChatGPT-4o,LLM,female,1,1,1,f,-1,f,1,1,f
49,DeepSeek-V3,LLM,female,1,1,1,f,-1,f,1,1,f
50,Google,NMT,male,0,4,0,f,1,m,1,0,unrecoverable
50,DeepL,NMT,male,0,4,0,f,1,m,1,1,m
50,ChatGPT-4o,LLM,male,0,4,0,f,1,m,1,0,unrecoverable
50,DeepSeek-V3,LLM,male,0,4,1,m,-1,f,-1,1,m
51,Google,NMT,female,1,1,1,f,-1,m,-1,1,f
51,DeepL,NMT,female,1,1,0,m,1,m,-1,1,m
51,ChatGPT-4o,LLM,female,1,1,1,f,-1,m,-1,1,f
51,DeepSeek-V3,LLM,female,1,1,0,m,1,m,-1,1,f
52,Google,NMT,male,0,8,1,m,-1,m,1,1,m
52,DeepL,NMT,male,0,8,1,m,-1,m,1,0,unrecoverable
52,ChatGPT-4o,LLM,male,0,8,1,m,-1,m,1,1,m
52,DeepSeek-V3,LLM,male,0,8,1,m,-1,m,1,1,m
53,Google,NMT,female,1,1,1,f,-1,f,1,0,unrecoverable
53,DeepL,NMT,female,1,1,1,f,-1,f,1,0,unrecoverable
53,ChatGPT-4o,LLM,female,1,1,1,f,-1,f,1,0,unrecoverable
53,DeepSeek-V3,LLM,female,1,1,0,m,1,f,1,1,f
54,Google,NMT,male,0,4,0,f,1,m,1,0,unrecoverable
54,DeepL,NMT,male,0,4,0,f,1,m,1,1,m
54,ChatGPT-4o,LLM,male,0,4,0,f,1,m,1,1,m
54,DeepSeek-V3,LLM,male,0,4,0,f,1,m,1,1,m
55,Google,NMT,female,1,1,1,f,-1,f,1,1,f
55,DeepL,NMT,female,1,1,1,f,-1,m,-1,1,f
55,ChatGPT-4o,LLM,female,1,1,1,f,-1,m,-1,1,f
55,DeepSeek-V3,LLM,female,1,1,0,m,1,f,1,1,f
56,Google,NMT,male,0,6,1,m,-1,m,1,1,m
56,DeepL,NMT,male,0,6,1,m,-1,m,1,1,m
56,ChatGPT-4o,LLM,male,0,6,1,m,-1,m,1,1,m
56,DeepSeek-V3,LLM,male,0,6,1,m,-1,m,1,1,m
57,Google,NMT,female,1,1,1,f,-1,f,1,1,f
57,DeepL,NMT,female,1,1,1,f,-1,f,1,1,f
57,ChatGPT-4o,LLM,female,1,1,1,f,-1,f,1,0,unrecoverable
57,DeepSeek-V3,LLM,female,1,1,0,m,1,f,1,1,f
58,Google,NMT,male,0,7,0,f,1,m,1,1,f
58,DeepL,NMT,male,0,7,0,f,1,f,-1,1,f
58,ChatGPT-4o,LLM,male,0,7,0,f,1,m,1,1,m
58,DeepSeek-V3,LLM,male,0,7,0,f,1,m,1,1,m
59,Google,NMT,female,1,1,0,m,1,f,1,1,f
59,DeepL,NMT,female,1,1,0,m,1,f,1,0,unrecoverable
59,ChatGPT-4o,LLM,female,1,1,1,f,-1,f,1,0,unrecoverable
59,DeepSeek-V3,LLM,female,1,1,0,m,1,m,-1,1,f
60,Google,NMT,male,0,7,1,m,-1,m,1,0,unrecoverable
60,DeepL,NMT,male,0,7,1,m,-1,m,1,1,m
60,ChatGPT-4o,LLM,male,0,7,0,f,1,m,1,1,m
60,DeepSeek-V3,LLM,male,0,7,1,m,-1,m,1,1,m
61,Google,NMT,male,0,6,1,m,-1,m,1,1,m
61,DeepL,NMT,male,0,6,1,m,-1,m,1,1,m
61,ChatGPT-4o,LLM,male,0,6,1,m,-1,m,1,1,m
61,DeepSeek-V3,LLM,male,0,6,1,m,-1,m,1,1,m
62,Google,NMT,female,1,1,1,f,-1,f,1,0,unrecoverable
62,DeepL,NMT,female,1,1,1,f,-1,f,1,0,unrecoverable
62,ChatGPT-4o,LLM,female,1,1,0,m,1,m,-1,1,f
62,DeepSeek-V3,LLM,female,1,1,0,m,1,f,1,1,f
63,Google,NMT,female,1,1,0,m,1,f,1,1,f
63,DeepL,NMT,female,1,1,0,m,1,f,1,1,f
63,ChatGPT-4o,LLM,female,1,1,0,m,1,f,1,1,f
63,DeepSeek-V3,LLM,female,1,1,0,m,1,f,1,1,f
64,Google,NMT,male,0,4,1,m,-1,m,1,0,unrecoverable
64,DeepL,NMT,male,0,4,1,m,-1,m,1,1,m
64,ChatGPT-4o,LLM,male,0,4,0,f,1,m,1,1,m
64,DeepSeek-V3,LLM,male,0,4,1,m,-1,m,1,1,m
65,Google,NMT,female,1,1,0,m,1,f,1,1,f
65,DeepL,NMT,female,1,1,0,m,1,f,1,1,f
65,ChatGPT-4o,LLM,female,1,1,1,f,-1,m,-1,1,f
65,DeepSeek-V3,LLM,female,1,1,1,f,-1,f,1,1,f
66,Google,NMT,male,0,4,1,m,-1,m,1,1,m
66,DeepL,NMT,male,0,4,1,m,-1,m,1,1,m
66,ChatGPT-4o,LLM,male,0,4,1,m,-1,f,-1,1,m
66,DeepSeek-V3,LLM,male,0,4,1,m,-1,f,-1,1,m
67,Google,NMT,female,1,1,0,m,1,f,1,1,f
67,DeepL,NMT,female,1,1,0,m,1,f,1,1,f
67,ChatGPT-4o,LLM,female,1,1,0,m,1,f,1,1,f
67,DeepSeek-V3,LLM,female,1,1,0,m,1,f,1,1,f
68,Google,NMT,male,0,4,1,m,-1,m,1,1,m
68,DeepL,NMT,male,0,4,1,m,-1,m,1,1,m
68,ChatGPT-4o,LLM,male,0,4,0,f,1,m,1,1,m
68,DeepSeek-V3,LLM,male,0,4,1,m,-1,m,1,1,m
69,Google,NMT,male,0,1,1,m,-1,m,1,0,unrecoverable
69,DeepL,NMT,male,0,1,1,m,-1,m,1,0,unrecoverable
69,ChatGPT-4o,LLM,male,0,1,0,f,1,f,-1,0,unrecoverable
69,DeepSeek-V3,LLM,male,0,1,1,m,-1,f,-1,0,unrecoverable
70,Google,NMT,female,1,4,1,f,-1,f,1,1,f
70,DeepL,NMT,female,1,4,1,f,-1,m,-1,1,f
70,ChatGPT-4o,LLM,female,1,4,1,f,-1,f,1,1,f
70,DeepSeek-V3,LLM,female,1,4,0,m,1,f,1,1,f
71,Google,NMT,female,1,1,0,m,1,f,1,1,f
71,DeepL,NMT,female,1,1,0,m,1,m,-1,0,unrecoverable
71,ChatGPT-4o,LLM,female,1,1,1,f,-1,m,-1,1,f
71,DeepSeek-V3,LLM,female,1,1,1,f,-1,f,1,1,f
72,Google,NMT,male,0,8,1,m,-1,m,1,1,m
72,DeepL,NMT,male,0,8,1,m,-1,m,1,1,m
72,ChatGPT-4o,LLM,male,0,8,1,m,-1,m,1,1,m
72,DeepSeek-V3,LLM,male,0,8,1,m,-1,m,1,1,m
73,Google,NMT,female,1,1,1,f,-1,f,1,0,unrecoverable
73,DeepL,NMT,female,1,1,1,f,-1,f,1,0,unrecoverable
73,ChatGPT-4o,LLM,female,1,1,1,f,-1,f,1,1,f
73,DeepSeek-V3,LLM,female,1,1,1,f,-1,m,-1,1,f
74,Google,NMT,male,0,8,1,m,-1,m,1,0,unrecoverable
74,DeepL,NMT,male,0,8,1,m,-1,m,1,1,m
74,ChatGPT-4o,LLM,male,0,8,0,f,1,f,-1,1,m
74,DeepSeek-V3,LLM,male,0,8,0,f,1,m,1,1,m
75,Google,NMT,female,1,1,1,f,-1,f,1,1,f
75,DeepL,NMT,female,1,1,1,f,-1,f,1,0,unrecoverable
75,ChatGPT-4o,LLM,female,1,1,1,f,-1,f,1,1,f
75,DeepSeek-V3,LLM,female,1,1,1,f,-1,f,1,1,f
76,Google,NMT,male,0,4,1,m,-1,m,1,1,m
76,DeepL,NMT,male,0,4,1,m,-1,m,1,0,unrecoverable
76,ChatGPT-4o,LLM,male,0,4,0,f,1,m,1,1,m
76,DeepSeek-V3,LLM,male,0,4,1,m,-1,m,1,1,m
77,Google,NMT,female,1,4,1,f,-1,f,1,0,unrecoverable
77,DeepL,NMT,female,1,4,1,f,-1,f,1,0,unrecoverable
77,ChatGPT-4o,LLM,female,1,4,1,f,-1,f,1,1,f
77,DeepSeek-V3,LLM,female,1,4,1,f,-1,f,1,1,f
78,Google,NMT,male,0,1,1,m,-1,m,1,0,unrecoverable
78,DeepL,NMT,male,0,1,1,m,-1,m,1,0,unrecoverable
78,ChatGPT-4o,LLM,male,0,1,0,f,1,m,1,1,m
78,DeepSeek-V3,LLM,male,0,1,1,m,-1,m,1,1,m
79,Google,NMT,female,1,1,1,f,-1,f,1,1,f
79,DeepL,NMT,female,1,1,0,m,1,f,1,1,f
79,ChatGPT-4o,LLM,female,1,1,0,m,1,f,1,1,f
79,DeepSeek-V3,LLM,female,1,1,0,m,1,f,1,1,f
80,Google,NMT,male,0,6,1,m,-1,m,1,1,m
80,DeepL,NMT,male,0,6,1,m,-1,m,1,1,m
80,ChatGPT-4o,LLM,male,0,6,0,f,1,m,1,1,m
80,DeepSeek-V3,LLM,male,0,6,1,m,-1,m,1,1,m
81,Google,NMT,female,1,8,0,m,1,f,1,0,unrecoverable
81,DeepL,NMT,female,1,8,0,m,1,f,1,0,unrecoverable
81,ChatGPT-4o,LLM,female,1,8,0,m,1,f,1,1,f
81,DeepSeek-V3,LLM,female,1,8,0,m,1,f,1,1,f
82,Google,NMT,male,0,1,1,m,-1,m,1,0,unrecoverable
82,DeepL,NMT,male,0,1,1,m,-1,m,1,0,unrecoverable
82,ChatGPT-4o,LLM,male,0,1,0,f,1,m,1,1,m
82,DeepSeek-V3,LLM,male,0,1,1,m,-1,f,-1,1,m
83,Google,NMT,female,1,1,0,m,1,f,1,1,f
83,DeepL,NMT,female,1,1,0,m,1,f,1,1,f
83,ChatGPT-4o,LLM,female,1,1,0,m,1,f,1,1,f
83,DeepSeek-V3,LLM,female,1,1,0,m,1,f,1,1,f
84,Google,NMT,male,0,8,1,m,-1,m,1,0,unrecoverable
84,DeepL,NMT,male,0,8,1,m,-1,m,1,0,unrecoverable
84,ChatGPT-4o,LLM,male,0,8,0,f,1,m,1,0,unrecoverable
84,DeepSeek-V3,LLM,male,0,8,1,m,-1,f,-1,1,m
85,Google,NMT,female,1,1,0,m,1,f,1,0,unrecoverable
85,DeepL,NMT,female,1,1,0,m,1,f,1,1,f
85,ChatGPT-4o,LLM,female,1,1,0,m,1,f,1,1,f
85,DeepSeek-V3,LLM,female,1,1,0,m,1,f,1,1,f
86,Google,NMT,male,0,6,1,m,-1,m,1,0,unrecoverable
86,DeepL,NMT,male,0,6,1,m,-1,m,1,1,m
86,ChatGPT-4o,LLM,male,0,6,0,f,1,m,1,1,m
86,DeepSeek-V3,LLM,male,0,6,1,m,-1,f,-1,1,m
87,Google,NMT,female,1,1,1,f,-1,m,-1,0,unrecoverable
87,DeepL,NMT,female,1,1,1,f,-1,m,-1,0,unrecoverable
87,ChatGPT-4o,LLM,female,1,1,1,f,-1,f,1,0,unrecoverable
87,DeepSeek-V3,LLM,female,1,1,1,f,-1,f,1,1,f
88,Google,NMT,male,0,5,1,m,-1,m,1,1,m
88,DeepL,NMT,male,0,5,1,m,-1,m,1,1,m
88,ChatGPT-4o,LLM,male,0,5,0,f,1,f,-1,1,m
88,DeepSeek-V3,LLM,male,0,5,1,m,-1,m,1,1,m
89,Google,NMT,female,1,5,1,f,-1,f,1,1,f
89,DeepL,NMT,female,1,5,1,f,-1,m,-1,1,f
89,ChatGPT-4o,LLM,female,1,5,0,m,1,f,1,1,f
89,DeepSeek-V3,LLM,female,1,5,0,m,1,m,-1,1,f
90,Google,NMT,male,0,1,1,m,-1,m,1,0,unrecoverable
90,DeepL,NMT,male,0,1,1,m,-1,m,1,0,unrecoverable
90,ChatGPT-4o,LLM,male,0,1,0,f,1,m,1,1,m
90,DeepSeek-V3,LLM,male,0,1,1,m,-1,m,1,1,m
91,Google,NMT,female,1,1,0,m,1,f,1,1,f
91,DeepL,NMT,female,1,1,1,f,-1,f,1,1,f
91,ChatGPT-4o,LLM,female,1,1,0,m,1,f,1,1,f
91,DeepSeek-V3,LLM,female,1,1,0,m,1,m,-1,1,f
92,Google,NMT,male,0,4,1,m,-1,m,1,0,unrecoverable
92,DeepL,NMT,male,0,4,1,m,-1,m,1,1,m
92,ChatGPT-4o,LLM,male,0,4,1,m,-1,m,1,1,m
92,DeepSeek-V3,LLM,male,0,4,1,m,-1,m,1,1,m
93,Google,NMT,female,1,1,0,m,1,f,1,1,f
93,DeepL,NMT,female,1,1,0,m,1,f,1,1,f
93,ChatGPT-4o,LLM,female,1,1,0,m,1,f,1,1,f
93,DeepSeek-V3,LLM,female,1,1,0,m,1,m,-1,1,f
94,Google,NMT,male,0,4,1,m,-1,m,1,0,unrecoverable
94,DeepL,NMT,male,0,4,1,m,-1,m,1,1,m
94,ChatGPT-4o,LLM,male,0,4,1,m,-1,m,1,1,m
94,DeepSeek-V3,LLM,male,0,4,1,m,-1,m,1,1,m
95,Google,NMT,male,0,4,1,m,-1,m,1,0,unrecoverable
95,DeepL,NMT,male,0,4,1,m,-1,m,1,0,unrecoverable
95,ChatGPT-4o,LLM,male,0,4,1,m,-1,m,1,1,m
95,DeepSeek-V3,LLM,male,0,4,1,m,-1,m,1,1,m
96,Google,NMT,female,1,1,0,m,1,f,1,0,unrecoverable
96,DeepL,NMT,female,1,1,0,m,1,f,1,1,f
96,ChatGPT-4o,LLM,female,1,1,0,m,1,m,-1,1,f
96,DeepSeek-V3,LLM,female,1,1,0,m,1,m,-1,1,f
97,Google,NMT,female,1,1,0,m,1,f,1,1,f
97,DeepL,NMT,female,1,1,0,m,1,f,1,0,unrecoverable
97,ChatGPT-4o,LLM,female,1,1,0,m,1,f,1,1,f
97,DeepSeek-V3,LLM,female,1,1,0,m,1,f,1,1,f
98,Google,NMT,male,0,4,0,f,1,m,1,0,unrecoverable
98,DeepL,NMT,male,0,4,0,f,1,m,1,0,unrecoverable
98,ChatGPT-4o,LLM,male,0,4,0,f,1,m,1,1,m
98,DeepSeek-V3,LLM,male,0,4,0,f,1,m,1,1,m
99,Google,NMT,female,1,1,1,f,-1,m,-1,0,unrecoverable
